id,first_name,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,computer_score
1,Saad,male,FALSE,3,FALSE,27,Lawyer,73,81,93,97,63,80,87
2,Ayesha,female,FALSE,2,FALSE,47,Doctor,90,86,96,100,90,88,90
3,Hammad,female,FALSE,9,TRUE,13,Government Officer,81,97,95,96,65,77,94
4,Hurrain,female,FALSE,5,FALSE,3,Artist,71,74,88,80,89,63,86
5,Asad,male,FALSE,5,FALSE,10,Unknown,84,77,65,65,80,74,76
6,fatima,female,FALSE,2,FALSE,26,Unknown,93,100,67,78,72,80,84
7,Anthony,male,FALSE,3,TRUE,23,Software Engineer,99,96,97,73,88,76,64
8,George,male,TRUE,2,TRUE,34,Software Engineer,95,95,82,63,84,70,85
9,Stanley,male,FALSE,6,FALSE,25,Unknown,94,68,94,85,81,74,72
10,Audrey,female,FALSE,3,TRUE,18,Teacher,98,69,88,71,67,71,73
11,M,female,FALSE,2,FALSE,7,Teacher,65,60,97,94,71,81,66
12,Clinton,male,FALSE,1,FALSE,7,Unknown,80,61,100,65,87,64,61
13,Patricia,female,TRUE,7,FALSE,4,Business Owner,94,59,69,67,89,65,73
14,Pamela,female,FALSE,10,FALSE,2,Business Owner,66,94,86,100,57,90,63
15,Laura,female,FALSE,3,FALSE,39,Doctor,96,90,86,92,92,95,87
16,Roger,male,FALSE,6,FALSE,0,Business Owner,94,50,78,64,79,74,84
17,Vicki,female,FALSE,3,TRUE,30,Scientist,92,64,93,91,80,89,72
18,Maxwell,male,FALSE,2,TRUE,28,Software Engineer,86,83,85,79,93,76,77
19,Jonathan,male,FALSE,1,FALSE,37,Doctor,92,87,92,99,97,87,86
20,Angela,female,FALSE,2,FALSE,27,Software Engineer,99,65,98,75,66,72,100
21,Tim,male,TRUE,3,FALSE,15,Software Engineer,100,90,72,98,73,97,72
22,Kyle,male,FALSE,8,FALSE,4,Business Owner,57,55,78,94,83,88,88
23,Shannon,female,FALSE,9,FALSE,2,Business Owner,89,72,68,72,71,54,90
24,Sean,male,FALSE,9,FALSE,1,Business Owner,50,76,81,55,56,80,79
25,Cassandra,female,FALSE,4,FALSE,35,Software Engineer,87,91,90,88,95,88,93
26,Patricia,female,FALSE,5,FALSE,22,Doctor,92,86,87,81,93,90,99
27,Jason,male,FALSE,3,FALSE,34,Banker,100,77,80,94,63,90,90
28,Peter,male,FALSE,0,FALSE,23,Writer,64,75,93,79,81,96,85
29,Jeffrey,male,FALSE,1,TRUE,17,Accountant,79,65,99,71,76,77,83
30,Carol,female,FALSE,3,FALSE,19,Accountant,82,100,61,97,30,74,73
31,Angie,female,FALSE,0,FALSE,14,Software Engineer,88,69,87,100,88,85,72
32,Cynthia,female,FALSE,4,FALSE,30,Designer,70,68,92,74,82,85,72
33,Timothy,male,FALSE,4,FALSE,30,Accountant,77,96,98,89,85,62,62
34,Phyllis,female,FALSE,1,FALSE,24,Banker,99,84,84,78,78,77,68
35,Lisa,female,FALSE,3,TRUE,31,Unknown,90,93,91,80,86,69,62
36,Kelly,female,FALSE,1,FALSE,21,Unknown,65,70,78,98,80,66,65
37,Ryan,male,FALSE,2,TRUE,19,Construction Engineer,99,94,87,71,89,91,96
38,Michael,male,FALSE,1,FALSE,29,Construction Engineer,92,100,85,89,81,91,88
39,Miguel,male,FALSE,4,FALSE,21,Banker,77,64,64,88,94,82,78
40,Christopher,male,FALSE,4,FALSE,18,Accountant,92,60,66,87,60,83,95
41,Emily,female,FALSE,4,FALSE,31,Software Engineer,85,97,64,90,79,81,81
42,Jesus,male,TRUE,7,FALSE,4,Business Owner,65,55,66,50,88,56,86
43,Lauren,female,TRUE,6,FALSE,3,Business Owner,93,94,92,77,87,98,63
44,Pamela,female,FALSE,4,FALSE,3,Game Developer,97,99,85,96,91,68,66
